type,brand,model_name
Dental Chair,Bestodent,Symmtry
Dental Chair,Confident Dental,C9
Dental Chair,API Dental,AD 100
Dental Chair,Surya Dental,S1
Dental Chair,Hi-Tech Dental,Durga Deluxe Plus
Dental Chair,TEi Dental,Various integrated units
Dental Chair,Midmark,UltraComfort
Dental Chair,Gnatus,S200
Dental Chair,Forest Dental,3900 Series
Dental Chair,Shinhung,UnicLine
Dental Chair,Dabi Atlante,Personal Series
Dental Chair,Belmont Equipment,Clesta Series
X-Ray & RVG Machine,Woodpecker,Smart Ray Pro
X-Ray & RVG Machine,Carestream,Kodak Rvg 5200
X-Ray & RVG Machine,Vatech,EZ
X-Ray & RVG Machine,Dentsply,Sirona
X-Ray & RVG Machine,Acteon,Sopix
X-Ray & RVG Machine,Agkem,PhoCo
Clinic Setup & Design,Meticulous Planning,None
Clinic Setup & Design,Ensuring Regulatory ompliance,None
Equipments,SHINING 3D,Aoralscan 3
Equipments,Being Foshan,Airotor
Equipments,3Shape,TRIOS 5
Equipments,Julldent,JULL-DENT 041 (Black Series)
Suction Pump,Vmax,450 Motorized Suction
Suction Pump,LIFEX,Model 1
Suction Pump,Smart Dental Innovations,Model 2
Suction Pump,Cattani,Turbo Smart
Suction Pump,DArr Dental,VSA 300 S
Suction Pump,DentalEZ RAMVAC,RAMVAC Single Water Ring
Air Compressor,Chinese,Model 3
Air Compressor,Fulcrum,Model 4
Air Compressor,Confident,Model 5
Air Compressor,Jun-Air,OF302 Series
Air Compressor,Dynair,DA5002
Air Compressor,APL Mediair,Mediair 580
Autoclave & Sterilizer,Fomos,Model 6
Autoclave & Sterilizer,Phos Navee,Model 7
Autoclave & Sterilizer,Woson,Model 8
Autoclave & Sterilizer,Enbio,Model 9
Scaler & Handpiece,Woodpecker,Model 10
Scaler & Handpiece,NSK,Model 11
Scaler & Handpiece,GDC,Model 12
